Method,Precision,Recall,F1 (illicit),F1 (macro),PR-AUC,ROC-AUC,Category,FPR
Random Forest,0.9458128078817734,0.47058823529411764,0.6284779050736498,0.8075902500589385,0.6316069948508697,0.9365202472545997,Baseline Classifier,
KNN,0.49869451697127937,0.4681372549019608,0.4829329962073325,0.7293594588519937,0.4157341228805186,0.7720015671393661,Baseline Classifier,
K-Means,0.04618519357029658,1.0,0.08829257736420688,0.04497567256835937,0.0,0.0,Baseline Classifier,
GAT (no DGI),0.11347121296813863,0.9950980392156863,0.2037129954841947,0.4859832500785459,0.26865270077038644,0.9318846594727065,GNN Ablation,
MixTrace (DGI+GAT) ★,0.7093821510297483,0.7598039215686274,0.7337278106508875,0.8601821924312227,0.7167344853597438,0.9868159169276628,Proposed,
1D-Chamfer (timestamp),0.14463157894736842,0.9554937413073713,0.2512342292923752,0.0,0.0,0.0,CST Linking,
MD-Chamfer (d=4),0.14077976817702845,0.9542857142857143,0.24536271808999083,0.0,0.0,0.0,CST Linking,
Naive CIOH,0.77,1.0,0.87,0.0,0.0,0.0,Taproot Analysis,0.0372
Taproot-Aware DBSCAN,0.8326,0.3,0.441,0.0,0.0,0.0,Taproot Analysis,0.0075
