threshold,f1,precision,recall
2.2159151737034345e-23,0.15876749382570857,0.08622892181911089,1.0
0.005025123831015736,0.5623430962343097,0.39183673469387753,0.9955555555555555
0.010050247662031471,0.6139789858382824,0.4438573315719947,0.9955555555555555
0.015075371493047208,0.6467757459095284,0.4789736279401283,0.9955555555555555
0.020100495324062943,0.6676602086438153,0.5022421524663677,0.9955555555555555
0.025125619155078677,0.682233502538071,0.518918918918919,0.9955555555555555
0.030150742986094416,0.6985446985446986,0.5380304243394716,0.9955555555555555
0.03517586681711015,0.711864406779661,0.5539983511953833,0.9955555555555555
0.040200990648125885,0.7218045112781954,0.5661331086773378,0.9955555555555555
0.04522611447914162,0.7296416938110749,0.5758354755784062,0.9955555555555555
0.050251238310157355,0.7360350492880613,0.5838401390095569,0.9955555555555555
0.05527636214117309,0.74090407938258,0.5899912203687445,0.9955555555555555
0.06030148597218883,0.7458379578246392,0.5962732919254659,0.9955555555555555
0.06532660980320457,0.7512576858580212,0.6032315978456014,0.9955555555555555
0.0703517336342203,0.7559055118110236,0.6092475067996374,0.9955555555555555
0.07537685746523604,0.7610419026047565,0.615948670944088,0.9955555555555555
0.08040198129625177,0.765375854214123,0.6216466234967623,0.9955555555555555
0.0854271051272675,0.7702005730659026,0.6280373831775701,0.9955555555555555
0.09045222895828324,0.7750865051903114,0.6345609065155807,0.9955555555555555
0.09547735278929897,0.7786790266512167,0.6393910561370124,0.9955555555555555
0.10050247662031471,0.7818499127399651,0.6436781609195402,0.9955555555555555
0.10552760045133044,0.7845884413309983,0.6473988439306358,0.9955555555555555
0.11055272428234618,0.7870967741935484,0.6514563106796116,0.9940740740740741
0.11557784811336191,0.7922077922077922,0.6584887144259077,0.9940740740740741
0.12060297194437766,0.7940828402366864,0.6610837438423646,0.9940740740740741
0.12562809577539338,0.7954949614700652,0.6630434782608695,0.9940740740740741
0.13065321960640913,0.7969121140142518,0.6650148662041625,0.9940740740740741
0.13567834343742485,0.7988095238095239,0.6676616915422886,0.9940740740740741
0.1407034672684406,0.8016726403823178,0.6716716716716716,0.9940740740740741
0.14572859109945632,0.8045563549160671,0.675730110775428,0.9940740740740741
0.15075371493047207,0.8074608904933814,0.6798378926038501,0.9940740740740741
0.1557788387614878,0.8089210367691381,0.681910569105691,0.9940740740740741
0.16080396259250354,0.8128407026044822,0.6875,0.9940740740740741
0.1658290864235193,0.813826561552456,0.688911704312115,0.9940740740740741
0.170854210254535,0.8158054711246201,0.6917525773195876,0.9940740740740741
0.17587933408555076,0.8172959805115713,0.6938986556359876,0.9940740740740741
0.18090445791656648,0.8197923029932804,0.6975051975051975,0.9940740740740741
0.18592958174758223,0.8218003674219229,0.7004175365344467,0.9940740740740741
0.19095470557859795,0.8243243243243243,0.7040923399790137,0.9940740740740741
0.1959798294096137,0.8263546798029556,0.7070600632244468,0.9940740740740741
0.20100495324062942,0.828395061728395,0.71005291005291,0.9940740740740741
0.20603007707164517,0.8299319727891157,0.7123142250530785,0.9940740740740741
