epoch,train_loss,train_f1,val_f1,val_pr_auc,lr
5,0.4839631915092468,0.8423148393947438,0.5094494658997535,0.7656193331927759,0.0005
10,0.30764636397361755,0.8275598573611819,0.41936497956617413,0.847392458468638,0.0005
15,0.24383163452148438,0.8651224354731966,0.5079365079365079,0.8825656489557847,0.0005
20,0.19950462877750397,0.8843646041250832,0.5847089487402259,0.8867439747923591,0.0005
25,0.1646641194820404,0.8848215453000392,0.5586406962287609,0.8876867937766136,0.0005
30,0.13417893648147583,0.884843790343403,0.5734919286321155,0.9016255571786076,0.0005
35,0.1148282065987587,0.8882003614768913,0.6646971935007385,0.9253728483038727,0.0005
40,0.09836261719465256,0.8891183684006713,0.7433920704845814,0.932042237815464,0.0005
45,0.08871679753065109,0.8922837907819783,0.7852975495915986,0.9289367109844933,0.0005
50,0.08397231251001358,0.893032893032893,0.8031026252983293,0.9307290235350494,0.0005
55,0.07757185399532318,0.8905222437137331,0.7889800703399765,0.9347586067661967,0.0005
60,0.07311884313821793,0.8906370905339179,0.7731188971855255,0.935178282440486,0.0005
65,0.06996532529592514,0.892594028693292,0.7643384440658717,0.9375561096373329,0.0005
70,0.06634277105331421,0.8955688002073076,0.779837775202781,0.9406157951253312,0.0005
75,0.061771683394908905,0.8992974238875878,0.79739336492891,0.9443080293934631,0.0005
80,0.06203458830714226,0.9024676850763808,0.8064709406830437,0.9471836045817469,0.0005
85,0.059106167405843735,0.9041203400915632,0.8210140500916311,0.9513493386835814,0.0005
90,0.05769174173474312,0.9071109944896353,0.8273736128236745,0.9534572427505775,0.0005
95,0.055178165435791016,0.9068730325288562,0.8228080931943593,0.9557050846827885,0.0005
100,0.05470942705869675,0.9099763095551461,0.8317815021725636,0.9577335979687784,0.0005
105,0.052468426525592804,0.9128367670364501,0.8473717542748576,0.9588931579409938,0.0005
110,0.05055655166506767,0.9151779806801641,0.858242463117383,0.9606535508530173,0.0005
115,0.04655249044299126,0.9180719691939981,0.8576923076923076,0.9608455387451732,0.0005
120,0.04646994546055794,0.9192133935689609,0.867704280155642,0.9607951228450871,0.0005
125,0.04549450799822807,0.9225230030670756,0.8677524429967427,0.9594782575329077,0.0005
130,0.044056396931409836,0.9214380825565912,0.8613797549967763,0.9606381234362708,0.0005
135,0.0442022904753685,0.9236518953550453,0.8628719275549805,0.960932185545972,0.0005
140,0.04262826591730118,0.9260200668896321,0.8673602080624188,0.9615365072698133,0.0005
145,0.042752720415592194,0.929271238759898,0.8700195950359242,0.9605093849573413,0.0005
150,0.04241235554218292,0.9310205728116175,0.8763157894736842,0.9606789039625006,0.0005
155,0.03763672709465027,0.9313962873284907,0.8688845401174168,0.9621950059265421,0.0005
160,0.03774471580982208,0.9326508620689655,0.8675324675324675,0.9623825220488852,0.0005
165,0.03559918329119682,0.9364349472545307,0.8724656638325703,0.9619377915277864,0.0005
170,0.03889314457774162,0.9382113821138212,0.8792079207920792,0.9610064028093505,0.0005
175,0.03541877493262291,0.9373223229998646,0.8751642575558476,0.9588702177944124,0.0005
180,0.036220382899045944,0.9383385282558613,0.8757396449704142,0.9571531392694501,0.0005
185,0.03470612317323685,0.9421690025853857,0.8790482485128883,0.9556065012815209,0.0005
190,0.03330756351351738,0.944724989763887,0.8838752488387525,0.9561499162736498,0.0005
195,0.03491350635886192,0.944724989763887,0.8753280839895013,0.9524493597760442,0.0005
200,0.03490988537669182,0.9460161268279349,0.8718954248366013,0.9443906818005439,0.0005
205,0.034327492117881775,0.946922024623803,0.8792079207920792,0.940748564057738,0.0005
