epoch,loss
1,1.4587703943252563
2,2.568035364151001
3,1.328536033630371
4,1.8657886981964111
5,1.7564548254013062
6,1.388409972190857
7,1.3482805490493774
8,1.488170862197876
9,1.4499518871307373
10,1.3153713941574097
11,1.2438801527023315
12,1.2815513610839844
13,1.3218088150024414
14,1.292435646057129
15,1.228649616241455
16,1.1814907789230347
17,1.1843533515930176
18,1.1945233345031738
19,1.1793363094329834
20,1.140925407409668
21,1.1034228801727295
22,1.0950419902801514
23,1.1003029346466064
24,1.0874277353286743
25,1.0554707050323486
26,1.0273940563201904
27,1.0178364515304565
28,1.0216999053955078
29,1.0144164562225342
30,0.9778193235397339
31,0.96390700340271
32,0.9629044532775879
33,0.9570328593254089
34,0.9364092946052551
35,0.9198861122131348
36,0.9110016822814941
37,0.9086176156997681
38,0.89117431640625
39,0.8723143339157104
40,0.8687349557876587
41,0.8667241334915161
42,0.8519295454025269
43,0.837898850440979
44,0.8378009796142578
45,0.8229475617408752
46,0.8143002986907959
47,0.8038963675498962
48,0.8000364303588867
49,0.7884787917137146
50,0.779400646686554
51,0.7758601903915405
52,0.7649030685424805
53,0.753275990486145
54,0.7483104467391968
55,0.7445671558380127
56,0.7293200492858887
57,0.7279801368713379
58,0.7162157297134399
59,0.7117452025413513
60,0.7040663957595825
61,0.6974495053291321
62,0.6871985197067261
63,0.6829099655151367
64,0.6722118854522705
65,0.6678221821784973
66,0.6616702675819397
67,0.6562480926513672
68,0.651347279548645
69,0.6455714702606201
70,0.6421681642532349
71,0.6387498378753662
72,0.6329314708709717
73,0.6259832382202148
74,0.6196198463439941
75,0.6190345287322998
76,0.6131824254989624
77,0.6060949563980103
78,0.6043826341629028
79,0.6003259420394897
80,0.5934946537017822
81,0.5910688638687134
82,0.5875601172447205
83,0.5856707096099854
84,0.5803055763244629
85,0.5842981338500977
86,0.5737776756286621
87,0.5718599557876587
88,0.5664593577384949
89,0.5644022822380066
90,0.5587615966796875
91,0.5583795309066772
92,0.5534210801124573
93,0.5591360330581665
94,0.5472443103790283
95,0.5473191738128662
96,0.543507993221283
97,0.5435760021209717
98,0.5373976230621338
99,0.5371807813644409
100,0.5349124670028687
101,0.5315272808074951
102,0.526983380317688
103,0.5254793763160706
104,0.521308422088623
105,0.5218707919120789
106,0.5173411965370178
107,0.5191171169281006
108,0.5090259313583374
109,0.5120317935943604
110,0.5080378651618958
111,0.506561279296875
112,0.5063608288764954
113,0.4989986717700958
114,0.50259929895401
115,0.49849826097488403
116,0.4942510724067688
117,0.48955199122428894
118,0.4899803400039673
119,0.48542192578315735
120,0.48180973529815674
121,0.48140156269073486
122,0.4781174063682556
123,0.4771312475204468
124,0.4767856299877167
125,0.47603076696395874
126,0.4713176488876343
127,0.47240006923675537
128,0.46888893842697144
129,0.46760931611061096
130,0.46498018503189087
131,0.4615118205547333
132,0.46121108531951904
133,0.4567337930202484
134,0.45948314666748047
135,0.4531322717666626
136,0.45340627431869507
137,0.4532690644264221
138,0.45034173130989075
139,0.44755494594573975
140,0.4499298632144928
141,0.44536203145980835
142,0.44183915853500366
143,0.43986639380455017
144,0.4407094419002533
145,0.44020843505859375
146,0.43480587005615234
147,0.4354674518108368
148,0.43105024099349976
149,0.4343588948249817
150,0.4322423040866852
151,0.42506226897239685
152,0.42914149165153503
153,0.4297891855239868
154,0.42049604654312134
155,0.4247184991836548
156,0.4227104187011719
157,0.4190165400505066
158,0.4204457104206085
159,0.4179445505142212
160,0.4173513352870941
161,0.4160807430744171
162,0.41205933690071106
163,0.41304489970207214
164,0.4104836583137512
165,0.40840351581573486
166,0.4093795418739319
167,0.4046507477760315
168,0.4053346514701843
169,0.40230682492256165
170,0.4059554934501648
171,0.40352922677993774
172,0.40029478073120117
173,0.3992263972759247
174,0.39725935459136963
175,0.39790067076683044
176,0.39828282594680786
177,0.3955758213996887
178,0.3912910223007202
179,0.39137938618659973
180,0.3901329040527344
181,0.39325088262557983
182,0.3922136127948761
183,0.38990145921707153
184,0.3873656988143921
185,0.3892366290092468
186,0.3857795000076294
187,0.3816203773021698
188,0.38332808017730713
189,0.3847109377384186
190,0.38380080461502075
191,0.3789369761943817
192,0.3758499026298523
193,0.3778223991394043
194,0.37549853324890137
195,0.3774188458919525
196,0.3760021924972534
197,0.3775981068611145
198,0.37291219830513
199,0.37485575675964355
200,0.37218838930130005
201,0.3684425354003906
202,0.37436020374298096
203,0.3685378432273865
204,0.3714505434036255
205,0.36755698919296265
206,0.36723485589027405
207,0.3641219735145569
208,0.3671553432941437
209,0.36225220561027527
210,0.3608928918838501
211,0.3619019091129303
212,0.36172741651535034
213,0.35976970195770264
214,0.36093342304229736
215,0.3570573031902313
216,0.3547220826148987
217,0.3547184467315674
218,0.36114001274108887
219,0.35680949687957764
220,0.3545271158218384
221,0.35360705852508545
222,0.3531304597854614
223,0.3547345995903015
224,0.35026633739471436
225,0.3533383011817932
226,0.3517124056816101
227,0.35344159603118896
228,0.3492129147052765
229,0.34932830929756165
230,0.3488076329231262
231,0.34760117530822754
232,0.3458879590034485
233,0.3470585346221924
234,0.34834590554237366
235,0.34634751081466675
236,0.3459904193878174
237,0.34216007590293884
238,0.34928274154663086
239,0.3451160192489624
240,0.3418257534503937
241,0.3390560448169708
