threshold,precision,recall,f1
0.01021359555479478,0.3333333333333333,0.03477051460361613,0.06297229219143577
0.020304539055335493,0.16666666666666666,0.03477051460361613,0.05753739930955121
0.030395482555876208,0.11363636363636363,0.03477051460361613,0.05324813631522897
0.040486426056416926,0.16129032258064516,0.06258692628650904,0.09018036072144289
0.05057736955695764,0.1826086956521739,0.08762169680111266,0.11842105263157894
0.060668313057498355,0.15441176470588236,0.08762169680111266,0.11180124223602485
0.07075925655803907,0.13665943600867678,0.08762169680111266,0.10677966101694915
0.08085020005857978,0.16287878787878787,0.11961057023643949,0.13793103448275862
0.09094114355912049,0.1617391304347826,0.12934631432545202,0.1437403400309119
0.1010320870596612,0.14832535885167464,0.12934631432545202,0.13818722139673106
0.11112303056020192,0.13757396449704143,0.12934631432545202,0.13333333333333333
0.12121397406074264,0.15912208504801098,0.16133518776077885,0.16022099447513813
0.13130491756128337,0.15897435897435896,0.17246175243393602,0.16544362908605736
0.14139586106182409,0.15066828675577157,0.17246175243393602,0.1608300907911803
0.1514868045623648,0.1420389461626575,0.17246175243393602,0.15577889447236182
0.1615777480629055,0.1559432933478735,0.19888734353268428,0.17481662591687042
0.17166869156344622,0.15876288659793814,0.2141863699582754,0.18235642391947898
0.18175963506398693,0.15053763440860216,0.2141863699582754,0.17680826636050517
0.19185057856452764,0.14312267657992564,0.2141863699582754,0.17158774373259053
0.20194152206506835,0.152135231316726,0.23783031988873435,0.18556701030927836
0.2120324655656091,0.15063829787234043,0.24617524339360222,0.18690601900739176
0.2221234090661498,0.14664457332228667,0.24617524339360222,0.1838006230529595
0.2322143525666905,0.14081145584725538,0.24617524339360222,0.1791497975708502
0.24230529606723122,0.15632183908045977,0.28372739916550765,0.2015810276679842
0.2523962395677719,0.15407407407407409,0.28929068150208626,0.20106331561140647
0.26248718306831265,0.14867762687634023,0.28929068150208626,0.1964117091595845
0.27257812656885333,0.14424410540915394,0.28929068150208626,0.1925034706154558
0.28266907006939407,0.1595460614152203,0.33240611961057026,0.21560667568786648
0.29276001356993475,0.15704088254380272,0.33657858136300417,0.21415929203539824
0.3028509570704755,0.15220125786163521,0.33657858136300417,0.20961455175400606
0.3129419005710162,0.14774114774114774,0.33657858136300417,0.20534577853203226
0.3230328440715569,0.15361625821876868,0.3574408901251738,0.2148829431438127
0.33312378757209765,0.14950552646887724,0.3574408901251738,0.21082854799015588
0.34321473107263833,0.14652223489167618,0.3574408901251738,0.20784472300849172
0.3533056745731791,0.14333519241494702,0.3574408901251738,0.20461783439490447
0.36339661807371976,0.14802631578947367,0.37552155771905427,0.21234762092017304
0.3734875615742605,0.14693218514531756,0.3796940194714882,0.21187427240977882
0.3835785050748012,0.14475079533404028,0.3796940194714882,0.20959692898272553
0.3936694485753419,0.14203954214360043,0.3796940194714882,0.20673987126088603
0.4037603920758826,0.14997458057956278,0.4102920723226704,0.21965748324646314
0.41385133557642334,0.14704421261798312,0.41168289290681503,0.21669106881405564
0.4239422790769641,0.14495592556317335,0.41168289290681503,0.21441506700470844
0.43403322257750476,0.14258188824662812,0.41168289290681503,0.21180679785330947
0.4441241660780455,0.1477434679334917,0.4325452016689847,0.22025495750708216
0.4542151095785862,0.14579439252336449,0.4339360222531293,0.21825813221406087
0.4643060530791269,0.14384508990318118,0.4339360222531293,0.21606648199445982
0.4743969965796676,0.14188267394270124,0.4339360222531293,0.21384509938313914
0.48448794008020835,0.14573088958426464,0.4534075104311544,0.22056833558863329
0.4945788835807491,0.14417989417989419,0.45479833101529904,0.21894877803816537
0.5046698270812898,0.14285714285714285,0.45479833101529904,0.21742021276595744
0.5147607705818306,0.14052428018908467,0.45479833101529904,0.21470781352593565
0.5248517140823713,0.14412886816447648,0.4728789986091794,0.22092267706302793
0.5349426575829119,0.1419624217118998,0.4728789986091794,0.21836865767501606
0.5450336010834527,0.1400906468891636,0.4728789986091794,0.2161474888747616
0.5551245445839934,0.13754045307443366,0.4728789986091794,0.2130993418990912
0.5652154880845341,0.14342471195868098,0.502086230876217,0.223114956736712
0.5753064315850749,0.14151313210505684,0.502086230876217,0.22079510703363914
0.5853973750856155,0.1394899536321484,0.502086230876217,0.21832476564862413
0.5954883185861563,0.13747143945163748,0.502086230876217,0.21584454409566517
0.605579262086697,0.14296491889852886,0.5271210013908206,0.22492581602373887
0.6156702055872377,0.14115456238361265,0.5271210013908206,0.22267920094007052
0.6257611490877784,0.13928702682837193,0.5271210013908206,0.22034883720930232
0.6358520925883191,0.13876811594202898,0.5326842837273992,0.2201782121299224
0.6459430360888598,0.14709032488397,0.5730180806675939,0.2340909090909091
0.6560339795894006,0.14527503526093088,0.5730180806675939,0.2317862165963432
0.6661249230899413,0.14370422043948378,0.5730180806675939,0.2297824874511991
0.6762158665904819,0.14275838230210855,0.5744089012517385,0.22868217054263565
0.6863068100910227,0.14714919767838852,0.5994436717663422,0.2362938596491228
0.6963977535915634,0.14585448392554992,0.5994436717663422,0.2346216657593903
0.7064886970921042,0.14414715719063545,0.5994436717663422,0.2324076570504179
0.7165796405926448,0.14323519682434668,0.6022253129346314,0.23142704436130412
0.7266705840931855,0.1468760222440301,0.6244784422809457,0.2378177966101695
0.7367615275937263,0.14526043351666126,0.6244784422809457,0.2356955380577428
0.746852471094267,0.14423385801477676,0.6244784422809457,0.23434237995824633
0.7569434145948077,0.14358322744599747,0.6286509040333796,0.23377295060770623
0.7670343580953484,0.1471698113207547,0.650904033379694,0.24006155424467812
0.7771253015958891,0.14602184087363496,0.650904033379694,0.23853211009174313
0.7872162450964298,0.1452063295066708,0.650904033379694,0.2374429223744292
0.7973071885969706,0.14554424915201974,0.6564673157162726,0.23826350328117113
0.8073981320975112,0.1474555487431024,0.6689847009735744,0.24164782717910072
0.817489075598052,0.14637857577601948,0.6689847009735744,0.24019975031210986
0.8275800190985927,0.1454490474750529,0.6689847009735744,0.23894684550422254
0.8376709625991334,0.14543812104787715,0.6717663421418637,0.2391089108910891
0.8477619060996742,0.14717319772659287,0.6842837273991655,0.24224519940915806
0.8578528496002148,0.14651578320428826,0.6842837273991655,0.24135393671817512
0.8679437931007555,0.1450899439693306,0.6842837273991655,0.23941605839416058
0.8780347366012963,0.14394160583941606,0.6856745479833102,0.23793436293436293
0.888125680101837,0.144473455178416,0.6926286509040334,0.23907825252040327
0.8982166236023778,0.1435158501440922,0.6926286509040334,0.2377655765099069
0.9083075671029184,0.142652535090232,0.6926286509040334,0.2365795724465558
0.9183985106034591,0.14342743085258056,0.6995827538247567,0.23805016564126835
0.9284894541039999,0.14533068407607153,0.7121001390820584,0.2413955681282414
0.9385803976045406,0.14426599041983657,0.7121001390820584,0.23992502343017807
0.9486713411050812,0.1435782389231632,0.7121001390820584,0.23897316219369896
0.958762284605622,0.1437762237762238,0.7148817802503477,0.2394038192827201
0.9688532281061627,0.1435326842837274,0.717663421418637,0.23922114047287898
0.9789441716067034,0.14265966270389827,0.717663421418637,0.23800738007380073
0.9890351151072442,0.1421096116772239,0.717663421418637,0.23724137931034484
0.9991260586077848,0.14238773274917854,0.7232267037552156,0.23793182338137725
1.0092170021083255,0.14340136054421768,0.7329624478442281,0.23987255348202094
1.0193079456088663,0.1425480119015418,0.7329624478442281,0.23867753623188406
1.029398889109407,0.14193374629679503,0.7329624478442281,0.2378158844765343
1.0394898326099478,0.14224369296833064,0.7371349095966621,0.23847019122609675
1.0495807761104885,0.14339118825100133,0.7468706536856745,0.24059139784946237
